City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,cap-aux-meules,47.3821,-61.8597,19.45,62,100,12.66,CA,1643734340
212,katangli,51.7102,143.2326,6.15,92,100,15.64,RU,1643734340
213,asau,46.4333,26.4,31.28,87,100,0.67,RO,1643734340
214,sarangani,5.4033,125.4636,81.95,74,99,21.05,PH,1643734341
215,salalah,17.0151,54.0924,70.59,62,86,2.46,OM,1643734341
216,grand gaube,-20.0064,57.6608,79.38,82,97,11.01,MU,1643734341
217,raga,8.4596,25.678,77.02,19,2,4.03,SS,1643734342
218,chapais,49.7834,-74.8492,4.78,87,100,14.85,CA,1643734342
219,ribeira grande,38.5167,-28.7,63.0,72,20,20.71,PT,1643734342
220,alberton,46.8168,-64.0654,12.11,81,12,5.68,CA,1643734343
221,lysyye gory,51.5506,44.8414,29.16,88,99,15.7,RU,1643734343
222,ponta do sol,32.6667,-17.1,75.13,26,13,13.15,PT,1643734343
223,yamada,39.4667,141.95,29.34,69,98,4.03,JP,1643734404
224,sabang,5.8933,95.3214,81.95,76,20,7.58,ID,1643734404
225,okakarara,-20.5833,17.4333,67.71,81,100,9.37,NA,1643734404
226,lagos,6.5833,3.75,91.72,32,49,7.29,NG,1643734204
227,constitucion,-35.3333,-72.4167,68.86,61,4,8.75,CL,1643734405
228,port augusta,-32.5,137.7667,60.94,54,83,21.68,AU,1643734405
229,nelson,-41.2833,173.2833,70.29,75,100,1.01,NZ,1643734405
230,guliston,40.4897,68.7842,43.56,37,64,10.04,UZ,1643734405
231,chokurdakh,70.6333,147.9167,-19.52,97,100,1.23,RU,1643734406
232,katsuura,35.1333,140.3,48.22,53,12,10.94,JP,1643734406
233,solnechnyy,50.7214,136.6319,-3.15,99,98,1.54,RU,1643734406
234,tual,-5.6667,132.75,83.34,74,100,14.0,ID,1643734407
235,nouadhibou,20.931,-17.0347,82.38,23,100,9.22,MR,1643734407
236,graaff-reinet,-32.2522,24.5308,74.91,83,100,9.91,ZA,1643734407
237,santa rosalia,27.3167,-112.2833,66.76,29,38,3.74,MX,1643734408
238,ahipara,-35.1667,173.1667,69.1,88,100,15.21,NZ,1643734408
239,wolow,51.3366,16.6443,37.51,81,99,14.56,PL,1643734408
240,mugur-aksy,50.35,90.5,-8.0,97,70,5.3,RU,1643734409
241,esik,43.3552,77.4525,22.42,53,1,7.11,KZ,1643734409
242,bubaque,11.2833,-15.8333,79.43,72,15,12.55,GW,1643734409
243,beyla,8.6833,-8.6333,89.53,9,100,7.52,GN,1643734409
244,mehamn,71.0357,27.8492,21.38,67,0,12.66,NO,1643734410
245,severnyy,50.677,36.5532,24.84,74,0,8.95,RU,1643734410
246,pitimbu,-7.4706,-34.8086,88.39,63,7,11.59,BR,1643734410
247,denpasar,-8.65,115.2167,82.06,83,20,9.22,ID,1643734411
248,la ronge,55.1001,-105.2842,-14.55,70,0,9.22,CA,1643734411
249,cavan,53.9908,-7.3606,50.43,86,96,12.68,IE,1643734411
250,lima,-12.0432,-77.0282,73.65,69,0,11.5,PE,1643734411
251,bilma,18.6853,12.9164,63.79,15,0,6.15,NE,1643734412
252,pucallpa,-8.3791,-74.5539,82.44,78,75,3.44,PE,1643734412
253,beringovskiy,63.05,179.3167,-1.44,88,96,12.93,RU,1643734412
254,saint george,37.1041,-113.5841,45.07,32,0,7.0,US,1643734413
255,pangnirtung,66.1451,-65.7125,-27.4,75,0,2.3,CA,1643734413
256,wanaka,-44.7,169.15,60.35,97,100,4.38,NZ,1643734413
257,tumpat,6.1978,102.171,80.58,83,40,3.44,MY,1643734413
258,husavik,66.0449,-17.3389,19.31,80,47,10.76,IS,1643734414
259,kushima,31.4583,131.2333,43.43,75,41,8.41,JP,1643734414
260,port-cartier,50.0334,-66.8654,2.75,74,20,1.66,CA,1643734415
261,santo tomas,14.1079,121.1414,77.25,87,75,7.47,PH,1643734415
262,tocopilla,-22.092,-70.1979,72.27,64,4,8.61,CL,1643734415
263,puri,19.8,85.85,72.12,73,9,12.48,IN,1643734416
264,danielskuil,-28.1887,23.5395,72.18,66,100,6.96,ZA,1643734416
265,luganville,-15.5333,167.1667,77.34,86,92,3.31,VU,1643734416
266,sokolo,14.7328,-6.1219,86.86,8,99,14.83,ML,1643734416
267,shoranur,10.7667,76.2833,81.41,87,14,0.76,IN,1643734417
268,bud,39.447,-86.1758,53.11,51,100,14.05,US,1643734417
269,moranbah,-22.0016,148.0466,79.11,74,100,10.58,AU,1643734477
270,iqaluit,63.7506,-68.5145,-23.31,74,75,0.0,CA,1643734478
271,bugiri,0.5714,33.7417,72.91,64,100,6.91,UG,1643734478
272,port lincoln,-34.7333,135.8667,60.01,59,2,17.94,AU,1643734478
273,moose factory,51.2585,-80.6094,28.38,69,40,14.97,CA,1643734479
274,sabha,27.0377,14.4283,59.65,17,6,9.13,LY,1643734479
275,zeya,53.75,127.2667,-6.95,88,12,5.14,RU,1643734479
276,hilton head island,32.2163,-80.7526,63.05,70,0,1.01,US,1643734274
277,komsomolskiy,40.4272,71.7189,31.42,74,8,6.91,UZ,1643734480
278,chukhloma,58.7525,42.6825,25.86,96,100,7.36,RU,1643734480
279,emerald,-23.5333,148.1667,86.14,54,75,5.75,AU,1643734480
280,manono,-7.3,27.4167,71.65,90,46,2.66,CD,1643734481
281,narsaq,60.9167,-46.05,7.74,88,79,2.64,GL,1643734481
282,kismayo,-0.3582,42.5454,78.82,83,91,13.42,SO,1643734481
283,mae hong son,19.3003,97.9685,60.53,52,13,1.63,TH,1643734482
284,sorong,-0.8833,131.25,79.32,78,100,9.4,ID,1643734482
285,san policarpo,12.1791,125.5072,78.17,83,63,7.36,PH,1643734482
286,padang,-0.9492,100.3543,75.94,92,100,4.92,ID,1643734482
287,klatovy,49.3955,13.2951,34.66,93,100,24.2,CZ,1643734483
288,bamako,12.65,-8.0,91.81,9,0,14.97,ML,1643734483
289,gualeguaychu,-33.0094,-58.5172,87.04,33,0,6.04,AR,1643734483
290,preobrazheniye,42.9019,133.9064,14.2,65,1,8.48,RU,1643734484
291,shiyan,32.6475,110.7781,38.48,51,100,1.39,CN,1643734484
292,trairi,-3.2778,-39.2689,86.2,63,82,13.71,BR,1643734484
293,gorom-gorom,14.4439,-0.2361,83.39,5,43,12.12,BF,1643734485
294,san quintin,30.4833,-115.95,58.26,75,83,4.97,MX,1643734485
295,tambacounda,13.7539,-13.7586,104.05,9,33,13.8,SN,1643734485
296,balykshi,47.0667,51.8667,32.0,100,100,6.71,KZ,1643734486
297,sisimiut,66.9395,-53.6735,8.67,85,100,8.1,GL,1643734486
298,jackson,42.4165,-122.8345,33.04,93,0,0.0,US,1643734341
299,korcula,42.9622,17.1369,46.96,46,0,10.76,HR,1643734486
300,parainen,60.3067,22.301,15.15,96,100,3.58,FI,1643734487
301,lasa,46.6166,10.7002,36.48,94,46,8.12,IT,1643734487
302,hami,42.8,93.45,23.18,33,15,3.42,CN,1643734487
303,ashcroft,50.7165,-121.2859,30.61,92,95,2.73,CA,1643734488
304,upernavik,72.7868,-56.1549,-17.91,77,100,5.95,GL,1643734488
305,hasaki,35.7333,140.8333,34.29,59,2,19.24,JP,1643734488
306,jacksonville,30.3322,-81.6556,70.11,56,0,1.99,US,1643734348
307,puerto madero,14.7208,-92.4215,82.06,61,8,6.82,MX,1643734489
308,klyuchevskiy,53.5317,119.4519,-11.9,93,99,4.36,RU,1643734489
309,mortka,59.3322,66.0214,10.13,97,90,5.55,RU,1643734490
310,kamaishi,39.2667,141.8833,31.71,69,97,5.86,JP,1643734490
311,codrington,-38.2667,141.9667,56.23,55,47,14.0,AU,1643734490
312,palasa,18.7667,84.4167,69.49,82,6,6.06,IN,1643734491
313,cotacachi,0.3,-78.2667,63.95,63,98,4.43,EC,1643734491
314,bethel,41.3712,-73.414,35.06,60,5,6.44,US,1643734551
315,kyren,51.6828,102.1408,-0.45,89,50,2.21,RU,1643734552
316,pangai,-19.8,-174.35,79.77,72,10,7.72,TO,1643734552
317,high level,58.5169,-117.136,-5.69,77,20,12.66,CA,1643734519
318,faanui,-16.4833,-151.75,80.65,75,7,19.33,PF,1643734553
319,fortuna,40.5982,-124.1573,38.98,85,0,8.05,US,1643734553
320,fortuna foothills,32.6578,-114.4119,57.22,26,75,0.0,US,1643734554
321,jijiga,9.35,42.8,66.0,39,53,13.24,ET,1643734554
322,pak phanang,8.3511,100.202,78.67,78,27,6.02,TH,1643734555
323,gawler,-34.6,138.7333,61.21,62,0,9.84,AU,1643734555
324,saldanha,-33.0117,17.9442,75.25,87,20,7.83,ZA,1643734556
325,paraiso,9.8383,-83.8656,77.88,45,6,4.65,CR,1643734311
326,biharamulo,-2.6319,31.3089,61.72,93,100,2.84,TZ,1643734556
327,porto novo,6.4965,2.6036,89.42,44,94,9.62,BJ,1643734556
328,muros,42.7762,-9.0603,61.84,51,1,7.34,ES,1643734557
329,qasigiannguit,68.8193,-51.1922,0.37,90,100,3.33,GL,1643734557
330,bay roberts,47.5999,-53.2648,28.15,50,16,8.01,CA,1643734557
331,dingle,10.9995,122.6711,73.71,94,89,7.52,PH,1643734558
332,tiznit,29.5833,-9.5,74.07,26,94,9.24,MA,1643734558
333,jiuquan,39.7432,98.5174,21.34,27,100,4.38,CN,1643734558
334,camana,-16.6228,-72.7111,74.55,72,97,9.62,PE,1643734558
335,southbridge,42.0751,-72.0334,32.86,63,25,5.01,US,1643734559
336,belmonte,-15.8631,-38.8828,84.7,63,28,11.5,BR,1643734559
337,eyl,7.9803,49.8164,76.37,78,83,22.17,SO,1643734559
338,gushikawa,26.3544,127.8686,63.99,68,100,12.66,JP,1643734560
339,korla,41.7597,86.1469,24.91,41,94,2.26,CN,1643734560
340,pokaran,26.9167,71.9167,67.64,19,0,6.67,IN,1643734560
